Beauty Therapist (Qualified)
Motor Vehicle or Caravan Salesperson
Motor Vehicle Parts and Accessories Fitters
Multimedia Specialist
Music Teacher (Private Tuition)
Musical Instrument Maker or Repairer
Musician (Instrumental)
Naturopath
Naval Architect
Network Analyst
Neurologist
Nuclear Medicine Technologist
Nurse Educator
Nurse Managers
Nurse Researcher
Obstetrician and Gynaecologist
Operating Theatre Technician
Ophthalmologist
Optometrist
Order Clerk
Organisational Psychologist
Orthoptist
Orthotist or Prosthetist
Other Education Managers
Paediatrician
Paper and Wood Processing Machine Operators
Parole or Probation Officer
Pathologist
Paving Plant Operator
Petroleum Engineer
Physicist
Plastics and Rubber Production Machine Operators
Policy Analyst
Policy and Planning Managers
Post Office Manager
Postal Delivery Officer
Power Generation Plant Operator
Precision Instrument Maker and Repairer
Primary Products Inspectors
Private Investigator
Private Tutors and Teachers
Product Examiner
Product Grader
Product Tester
Production Clerk
Production Manager (Mining)
Proof Reader
Psychiatrists
Public Relations Manager
Public Relations Professionals
Purchasing Officer
Radio Presenter
Real Estate Representative
Records Manager
Recreation Officer
Recycling Worker
Registered Nurse (Critical Care and Emergency)
Registered Nurse (Mental Health)
Registered Nurse (Surgical)
Rehabilitation Counsellor
Research and Development Managers
Resident Medical Officer
Retail Buyer
Retail Loss Prevention Officer
Retail Managers
Retail Pharmacist
Retail Supervisors
Road Roller Operator
Sales Demonstrator
School Principals
Security Consultant
Shelf Fillers
Ship's Master
Ship's Officer
Sign Erector
Singer
Slaughterer
Social Professionals
Software Engineer
Software Tester
Solid Plasterer
Sonographer
Special Care Workers
Special Education Teachers
Specialist Physicians
"Sports Coaches, Instructors and Officials"
Sports Umpire
Sportspersons
Statistical Clerk
Statistician
Sterilisation Technician
Stock Clerk
Stone Processing Machine Operator
Street Vendors and Related Salespersons
Student Counsellor
Surgeons
Survey Interviewers
Surveying or Spatial Science Technician
Switchboard Operators
Taxation Accountant
Taxation Inspector
Technical Sales Representatives
Technical Writer
Telecommunications Engineering Professionals
Telecommunications Linesworker
Telecommunications Technical Specialists
Telecommunications Trades Workers
Textile and Footwear Production Machine Operators
Therapy Aide
Thoracic Medicine Specialist
Ticket Collector or Usher
Transport and Despatch Clerks
Transport Company Manager
Transport Operations Inspector
Travel Attendants
Tree Faller
University Tutor
Urban and Regional Planners
Valuer
Vehicle Body Builders and Trimmers
Vehicle Painters
Vending Machine Attendants
Visual Arts and Crafts Professionals
Vocational Education Teachers
Waste Water or Water Plant Operator
Watch and Clock Maker and Repairer
Web Administrator
Web Developer
Weighbridge Operator
Wine Maker
Wood Machinist
Word Processing Operator
Zoologist
